,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_title,songs_id,artist
33,0.456,0.67,7,-5.212,1,0.0574,0.588,0.0,0.116,0.405,128.632,audio_features,2EiGECydkS2M8OCcRHQZhT,spotify:track:2EiGECydkS2M8OCcRHQZhT,https://api.spotify.com/v1/tracks/2EiGECydkS2M8OCcRHQZhT,https://api.spotify.com/v1/audio-analysis/2EiGECydkS2M8OCcRHQZhT,241688,4,Take Me To Church,2EiGECydkS2M8OCcRHQZhT,Hozier
34,0.745,0.719,6,-5.715,0,0.138,0.0198,0.137,0.211,0.38,132.01,audio_features,7AM5O2SgDyuY8uq0zmbcvA,spotify:track:7AM5O2SgDyuY8uq0zmbcvA,https://api.spotify.com/v1/tracks/7AM5O2SgDyuY8uq0zmbcvA,https://api.spotify.com/v1/audio-analysis/7AM5O2SgDyuY8uq0zmbcvA,162694,4,Anna,7AM5O2SgDyuY8uq0zmbcvA,Rawdolff
35,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,audio_features,21jGcNKet2qwijlDFuPiPb,spotify:track:21jGcNKet2qwijlDFuPiPb,https://api.spotify.com/v1/tracks/21jGcNKet2qwijlDFuPiPb,https://api.spotify.com/v1/audio-analysis/21jGcNKet2qwijlDFuPiPb,215280,4,Circles,21jGcNKet2qwijlDFuPiPb,Post Malone
36,0.609,0.378,4,-9.828,1,0.438,0.835,0.0,0.28,0.515,100.418,audio_features,3hB5DgAiMAQ4DzYbsMq1IT,spotify:track:3hB5DgAiMAQ4DzYbsMq1IT,https://api.spotify.com/v1/tracks/3hB5DgAiMAQ4DzYbsMq1IT,https://api.spotify.com/v1/audio-analysis/3hB5DgAiMAQ4DzYbsMq1IT,233720,4,Love Yourself,3hB5DgAiMAQ4DzYbsMq1IT,Justin Bieber
37,0.422,0.264,8,-7.064,1,0.0322,0.922,0.0,0.132,0.331,119.93,audio_features,3U4isOIWM3VvDubwSI3y7a,spotify:track:3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/tracks/3U4isOIWM3VvDubwSI3y7a,https://api.spotify.com/v1/audio-analysis/3U4isOIWM3VvDubwSI3y7a,269560,4,All of Me,3U4isOIWM3VvDubwSI3y7a,John Legend
38,0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,audio_features,3ee8Jmje8o58CHK66QrVC2,spotify:track:3ee8Jmje8o58CHK66QrVC2,https://api.spotify.com/v1/tracks/3ee8Jmje8o58CHK66QrVC2,https://api.spotify.com/v1/audio-analysis/3ee8Jmje8o58CHK66QrVC2,166606,4,SAD!,3ee8Jmje8o58CHK66QrVC2,XXXTENTACION
39,0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,audio_features,0tKcYR2II1VCQWT79i5NrW,spotify:track:0tKcYR2II1VCQWT79i5NrW,https://api.spotify.com/v1/tracks/0tKcYR2II1VCQWT79i5NrW,https://api.spotify.com/v1/audio-analysis/0tKcYR2II1VCQWT79i5NrW,187147,4,Thunder,0tKcYR2II1VCQWT79i5NrW,Imagine Dragons
40,0.753,0.834,6,-7.558,0,0.0376,0.0177,0.0,0.585,0.574,125.027,audio_features,3fPRkI4T7MJ9eP6ATO8jo8,spotify:track:3fPRkI4T7MJ9eP6ATO8jo8,https://api.spotify.com/v1/tracks/3fPRkI4T7MJ9eP6ATO8jo8,https://api.spotify.com/v1/audio-analysis/3fPRkI4T7MJ9eP6ATO8jo8,162240,4,Sarà perché ti amo,3fPRkI4T7MJ9eP6ATO8jo8,Jerry Wallis
41,0.778,0.317,1,-10.732,0,0.334,0.592,0.0,0.0881,0.327,140.048,audio_features,6ocbgoVGwYJhOv1GgI9NsF,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,https://api.spotify.com/v1/tracks/6ocbgoVGwYJhOv1GgI9NsF,https://api.spotify.com/v1/audio-analysis/6ocbgoVGwYJhOv1GgI9NsF,178627,4,7 rings,6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande
42,0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,130.049,audio_features,6gBFPUFcJLzWGx4lenP6h2,spotify:track:6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/tracks/6gBFPUFcJLzWGx4lenP6h2,https://api.spotify.com/v1/audio-analysis/6gBFPUFcJLzWGx4lenP6h2,243837,4,goosebumps,6gBFPUFcJLzWGx4lenP6h2,Travis Scott
43,0.662,0.71,1,-4.945,0,0.0364,0.0603,0.0,0.119,0.465,121.979,audio_features,5edBgVtRD0fvWk140Sl21T,spotify:track:5edBgVtRD0fvWk140Sl21T,https://api.spotify.com/v1/tracks/5edBgVtRD0fvWk140Sl21T,https://api.spotify.com/v1/audio-analysis/5edBgVtRD0fvWk140Sl21T,257267,4,Counting Stars,5edBgVtRD0fvWk140Sl21T,OneRepublic
44,0.634,0.589,9,-8.12,0,0.0277,0.0833,0.000119,0.194,0.494,117.952,audio_features,44LxZrjUpbpmVouVe70NF9,spotify:track:44LxZrjUpbpmVouVe70NF9,https://api.spotify.com/v1/tracks/44LxZrjUpbpmVouVe70NF9,https://api.spotify.com/v1/audio-analysis/44LxZrjUpbpmVouVe70NF9,220750,4,One More Kiss,44LxZrjUpbpmVouVe70NF9,The Hourglass Effect
45,0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,134.021,audio_features,7m9OqQk4RVRkw9JJdeAw96,spotify:track:7m9OqQk4RVRkw9JJdeAw96,https://api.spotify.com/v1/tracks/7m9OqQk4RVRkw9JJdeAw96,https://api.spotify.com/v1/audio-analysis/7m9OqQk4RVRkw9JJdeAw96,119133,4,Jocelyn Flores,7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION
